x,borough,zipcode,address,ownername,yearbuilt,style_sec,mat_prim,use_orig,lat,lon,complaints.count.freq,type,name
7074,Brooklyn,11238,310 PARK PLACE,"DITTMAN, CHRISTINA",1910,Romanesque Revival,Brownstone,Residential,40.67645,-73.967625,1,Landmarks,310 PARK PLACE
3893,Manhattan,10024,570 COLUMBUS AVENUE,100 WEST 88 STREET HD,1910,Romanesque,Brick,"Residential, multi-family",40.787556,-73.971407,1,Landmarks,570 COLUMBUS AVENUE
7733,Brooklyn,11238,379 WASHINGTON AVENUE,MOHAWK HOUSING ASSOC,1905,Romanesque Revival,Brownstone,"Residential, multi-family",40.687497,-73.9651465,2,Landmarks,379 WASHINGTON AVENUE
4726,Manhattan,10128,1217 PARK AVENUE,SADEK WAHBA,1899,Queen Anne,Brownstone,Residential,40.785664,-73.952796,1,Landmarks,1217 PARK AVENUE
7288,Brooklyn,11225,203 LEFFERTS AVENUE,"HAFFNER, BRIAN",1901,French Renaissance,Brick,"Residential, multi-family",40.662118,-73.954761,1,Landmarks,203 LEFFERTS AVENUE
9523,Queens,11361,39-26 213 STREET,"RUBIN, ROBERT",1901,Colonial Revival,Wood Frame,"Residential, single family",40.764795,-73.772605,1,Landmarks,39-26 213 STREET
3874,Manhattan,10024,101 WEST 86 STREET,"T & J 2006,  LLC",1910,Renaissance Revival,Brick,"Residential, multi-family",40.78656,-73.972324,1,Landmarks,101 WEST 86 STREET
7781,Brooklyn,11238,22 CLIFTON PLACE,"SABATINI, CHRISTOPHER",1899,neo-Grec,Brownstone,Residential,40.687686,-73.963773,1,Landmarks,22 CLIFTON PLACE
9273,Queens,11372,34-13 87 STREET,EPSTEIN JEROME,1935,neo-Georgian,Red Brick,"Outbuilding, garage",40.753608,-73.880267,1,Landmarks,34-13 87 STREET
3180,Manhattan,10023,48 WEST 70 STREET,LYNTON MICHAEL M,1900,neo-Grec,Brick,Residential,40.775484,-73.978293,2,Landmarks,48 WEST 70 STREET
6837,Brooklyn,11215,579 5 STREET,LINDA MCCUTCHEON LIVI,1920,Tudor,Not determined,Residential,40.667565,-73.975935,1,Landmarks,579 5 STREET
1811,Manhattan,10011,150 WEST 11 STREET,CHRISTINA HSIAO,1899,Italianate,Brick,Residential,40.735978,-73.999711,1,Landmarks,150 WEST 11 STREET
3397,Manhattan,10023,140 WEST 72 STREET,140-154 W. 72 REALTY,1920,Queen Anne,Brownstone,"Mixed-use, commercial & residential",40.7779745384615,-73.9801508461538,13,Landmarks,140 WEST 72 STREET
3887,Manhattan,10024,165 WEST 87 STREET,"ANGELLINO, ANNIE",1900,Renaissance Revival,Stone,Residential,40.787897,-73.973403,1,Landmarks,165 WEST 87 STREET
223,Manhattan,10013,56 HUDSON STREET,60 HUDSON OWNERS LLC,1930,Art Deco,Steel Frame,"Commercial, offices",40.717876,-74.008939,3,Landmarks,56 HUDSON STREET
9789,Queens,11363,301 38 ROAD,"RODEHAU, FLORENCE M",1920,Colonial Revival Cottage,Wood Frame,"Residential, single-family",40.772663,-73.74689,1,Landmarks,301 38 ROAD
9142,Queens,11372,34-46 83 STREET,ALI MOIED,1935,neo-Georgian,Red Brick,"Outbuilding, garage",40.752517,-73.883878,1,Landmarks,34-46 83 STREET
3725,Manhattan,10024,54 WEST 89 STREET,54 WEST 89TH STREET R,1900,Queen Anne,Stone,Residential,40.788039,-73.969886,1,Landmarks,54 WEST 89 STREET
4480,Manhattan,10021,127 EAST 71 STREET,GALT GROUP HOLDINGS L,1920,Italianate (original),Brick,Residential,40.770026,-73.963356,1,Landmarks,127 EAST 71 STREET
6498,Brooklyn,11217,107 PARK PLACE,"SANDS, JESSICA NANCY",1920,French,Brownstone,Residential,40.678354,-73.97485,1,Landmarks,107 PARK PLACE
4602,Manhattan,10028,12 EAST 82 STREET,1282 STREET LLC,1905,Georgian,Red Brick,"Residential, single-family",40.778658,-73.961636,1,Landmarks,12 EAST 82 STREET
3035,Manhattan,10016,6 SNIFFEN COURT,"NORTON, GRAHAM",1901,Vernacular,Brick,"Transportation, stable",40.747166,-73.977898,1,Landmarks,6 SNIFFEN COURT
8229,Brooklyn,11205,280 CARLTON AVENUE,,1833,Greek Revival,Brick,Residential,40.689088,-73.972051,1,Landmarks,280 CARLTON AVENUE
6937,Brooklyn,11215,586 11 STREET,"HALL, MARK J",1899,Romanesque Revival,Brownstone,Residential,40.664203,-73.979519,1,Landmarks,586 11 STREET
7798,Brooklyn,11238,205 GREENE AVENUE,GLORIA PATTON,1899,neo-Grec,Brownstone,Residential,40.686962,-73.963715,3,Landmarks,205 GREENE AVENUE
1590,Manhattan,10014,300 BLEECKER STREET,ELK 300 BLEEKER LLC,1900,Federal (late)(original),Flemish-Bond Brick,"Mixed-use, commercial & residential",40.73256,-74.003771,2,Landmarks,300 BLEECKER STREET
7241,Brooklyn,11216,860 ST JOHNS PLACE,"HURTADO, PAOLA",1901,Renaissance Revival,Rustic Brick,Residential,40.671588,-73.949542,2,Landmarks,860 ST JOHNS PLACE
3994,Manhattan,10024,347 WEST 84 STREET,"STALLBAUMER, DAVID",1900,neo-Grec,Brownstone,Residential,40.788025,-73.979882,1,Landmarks,347 WEST 84 STREET
8126,Brooklyn,11205,266 CLERMONT AVENUE,NEWTOWN JETS LLC,1910,Greek Revival,Wood Frame,Residential,40.690065,-73.970255,1,Landmarks,266 CLERMONT AVENUE
6771,Brooklyn,11215,198 8 AVENUE,LCC REALTY CORP,1960,Romanesque Revival,Limestone,Residential,40.670414,-73.975343,1,Landmarks,198 8 AVENUE
7726,Brooklyn,11238,400 WASHINGTON AVENUE,WASHINGTON HOTEL CORP,1905,Romanesque Revival,Brick,Residential,40.687047,-73.965598,1,Landmarks,400 WASHINGTON AVENUE
5444,Bronx,10455,751 KELLY STREET,CHANTEL FIELDS,1901,Romanesque Revival (late),Roman Brick,"Residential, multi-family",40.817123,-73.899116,1,Landmarks,751 KELLY STREET
5192,Manhattan,10031,1681 AMSTERDAM AVENUE,NCM HOLDINGS LLC,1900,Flemish,Light Brick,"Mixed-use, commercial & residential",40.824031,-73.948476,1,Landmarks,1681 AMSTERDAM AVENUE
7765,Brooklyn,11238,33 CLIFTON PLACE,214 VAN BUREN LLC,1899,neo-Grec,Brownstone,Residential,40.687768,-73.963199,4,Landmarks,33 CLIFTON PLACE
287,Manhattan,10013,370 BROADWAY,"370 BROADWAY, LLC",1915,Queen Anne,Masonry,"Commercial, store and lofts",40.717733,-74.003279,1,Landmarks,370 BROADWAY
4442,Manhattan,10065,872 LEXINGTON AVENUE,BLUE WATER HEAD HOLDI,1910,Italianate (original),Stucco,"Residential, multi-family",40.766167,-73.965322,2,Landmarks,872 LEXINGTON AVENUE
7251,Brooklyn,11213,974 ST JOHNS PLACE,ERNEST A LOGAN,1915,Arts & Crafts,Brick,"Residential, multi-family",40.6714,-73.94606,1,Landmarks,974 ST JOHNS PLACE
7029,Brooklyn,11238,590 VANDERBILT AVENUE,MDK590 VANDERBILT AVE,1931,Renaissance Revival,Brick,"Residential, multi-family",40.678844,-73.968446,1,Landmarks,590 VANDERBILT AVENUE
4440,Manhattan,10065,131 EAST 65 STREET,GUBERNICK  MARTIN,1899,Italianate (original),Stucco,Residential,40.76614,-73.965791,1,Landmarks,131 EAST 65 STREET
8567,Brooklyn,11225,56 MIDWOOD STREET,"JONES, JEFFREY MASON",1901,neo-Renaissance,Roman Brick,Residential,40.6596,-73.958749,1,Landmarks,56 MIDWOOD STREET
4178,Manhattan,10065,44 EAST 64 STREET,"JOSIAH MACY,JR.ETC.",1910,Queen Anne,Brownstone,Residential,40.766533,-73.968719,1,Landmarks,44 EAST 64 STREET
3312,Manhattan,10023,46 WEST 76 STREET,46 WEST 76TH STREET L,1910,neo-Italian Renaissance,Brownstone,Residential,40.779361,-73.975407,1,Landmarks,46 WEST 76 STREET
718,Manhattan,10013,90 GRAND STREET,THOMAS STREET LLC,1900,French,Stone,"Commercial, store and warehouse",40.72172475,-74.002060375,8,Landmarks,90 GRAND STREET
1430,Manhattan,10011,15 WEST 10 STREET,SIENA REALTY INC,1899,Italianate,Brick,Residential,40.733779,-73.996291,1,Landmarks,15 WEST 10 STREET
3574,Manhattan,10023,338 WEST 71 STREET,LUMMEL LYNNE,1900,Romanesque Revival,Rock-faced Masonry,Residential,40.77944,-73.985748,1,Landmarks,338 WEST 71 STREET
4857,Manhattan,10025,455 CENTRAL PARK WEST,,2002,English Gothic,Red Brick,"Institutional, hospital",40.797939,-73.960115,1,Landmarks,455 CENTRAL PARK WEST
6804,Brooklyn,11215,605 3 STREET,WOLMAN DEREK,1901,neo-Renaissance,Gray Brick,Residential,40.668791,-73.974979,1,Landmarks,605 3 STREET
3915,Manhattan,10024,175 WEST 88 STREET,175 WEST 88 T LLC,1901,Renaissance Revival,Stone,Residential,40.788613,-73.973147,3,Landmarks,175 WEST 88 STREET
9181,Queens,11372,34-38 85 STREET,JOSE MARTINEZ,1930,neo-Georgian,Red Brick,Residential,40.753067,-73.882083,1,Landmarks,34-38 85 STREET
3465,Manhattan,10023,113 WEST 74 STREET,105-115 WEST 74TH ST,1910,neo-Grec,Brick,Residential,40.778997,-73.978444,2,Landmarks,113 WEST 74 STREET
4293,Manhattan,10021,17 EAST 71 STREET,17 EAST 71 STREET LLC,1910,Queen Anne (original),Stone,Residential,40.771366,-73.96654,4,Landmarks,17 EAST 71 STREET
3664,Manhattan,10024,30 WEST 85 STREET,"MALONE, WARREN",1900,Queen Anne,Brownstone,Residential,40.785028,-73.970844,1,Landmarks,30 WEST 85 STREET
6736,Brooklyn,11215,28 PROSPECT PARK WEST,H LUKSIK,1901,Romanesque Revival,Indiana Limestone,"Residential, single-family",40.670545,-73.9719,1,Landmarks,28 PROSPECT PARK WEST
3342,Manhattan,10023,103 WEST 69 STREET,"CALLEN, ROBINSON TR",1920,Romanesque Revival,Brownstone,Residential,40.775624,-73.980521,1,Landmarks,103 WEST 69 STREET
4409,Manhattan,10075,4 EAST 79 STREET,"ASSADOUR O. TAVITIAN,",1910,neo-ltalian Renaissance,Limestone Ashlar,"Residential, single-family",40.77686,-73.963414,1,Landmarks,4 EAST 79 STREET
7448,Brooklyn,11233,398 STUYVESANT AVENUE,RANDOLPH POYER,1899,Romanesque Revival,Brownstone,Residential,40.681062,-73.931692,1,Landmarks,398 STUYVESANT AVENUE
1125,Manhattan,10012,77 BLEECKER STREET,77 BLEECKER ST CORP,1930,Contemporary,Steel Frame,"Commercial, stores",40.72687425,-73.995565,4,Landmarks,77 BLEECKER STREET
8580,Brooklyn,11225,29 RUTLAND ROAD,"GONZALO, MARIA",1930,Picturesque,Red Brick,Residential,40.658865,-73.959297,1,Landmarks,29 RUTLAND ROAD
3688,Manhattan,10024,21 WEST 86 STREET,21 WEST 86 LLC,1927,Romanesque,Brick,"Residential, multi-family",40.785838,-73.970606,1,Landmarks,21 WEST 86 STREET
8127,Brooklyn,11205,268 CLERMONT AVENUE,"ROYER, THEODORE W",1910,Greek Revival,Wood Frame,Residential,40.690024,-73.970248,3,Landmarks,268 CLERMONT AVENUE
3713,Manhattan,10024,41 WEST 88 STREET,"JARTEC, LLC",1900,Romanesque,Brownstone,Residential,40.787122,-73.969616,1,Landmarks,41 WEST 88 STREET
3656,Manhattan,10024,489 COLUMBUS AVENUE,"COL,",1910,neo-Grec,Brick,"Residential, multi-family",40.784875,-73.97334,1,Landmarks,489 COLUMBUS AVENUE
4352,Manhattan,10021,42 EAST 75 STREET,42 E 75TH ST OWNERS C,1910,neo-Gothic,Stucco,Residential,40.773523,-73.963535,1,Landmarks,42 EAST 75 STREET
8831,Brooklyn,11230,831 EAST 17 STREET,"LUSTIG, ESTHER",1901,Colonial Revival,Wood Frame,"Residential, single-family",40.630322,-73.960424,1,Landmarks,831 EAST 17 STREET
8420,Brooklyn,11222,109 NOBLE STREET,"CASTRO, PASTORA",1899,neo-Grec,Wood Frame,Residential,40.728583,-73.956181,5,Landmarks,109 NOBLE STREET
3859,Manhattan,10024,165 WEST 85 STREET,OKUMURA YURI,1910,Romanesque,Brick,Residential,40.786539,-73.974393,1,Landmarks,165 WEST 85 STREET
7456,Brooklyn,11233,73 BAINBRIDGE STREET,"WALLACE, COLETTE",1910,neo-Renaissance,Stone,Residential,40.680624,-73.934136,3,Landmarks,73 BAINBRIDGE STREET
9254,Queens,11372,34-28 88 STREET,"CHEN, RUI",1935,neo-Georgian,Red Brick,Residential,40.753407,-73.879304,2,Landmarks,34-28 88 STREET
4135,Manhattan,10065,19 EAST 62 STREET,19 E 62 STREET CORP,1900,neo-Grec,Brick,Residential,40.765664,-73.970481,1,Landmarks,19 EAST 62 STREET
7059,Brooklyn,11238,124 UNDERHILL AVENUE,"KEENAN, ANNE",1899,Renaissance Revival,Brownstone,Residential,40.676787,-73.966086,1,Landmarks,124 UNDERHILL AVENUE
3878,Manhattan,10024,112 WEST 87 STREET,G & M LUCAS,1910,Romanesque,Stone,Residential,40.787438,-73.972356,1,Landmarks,112 WEST 87 STREET
3611,Manhattan,10024,317 WEST 77 STREET,NINETY SIXTY LLC,1900,English Renaissance Revival,Rock-faced Brownstone,Residential,40.78323,-73.982592,1,Landmarks,317 WEST 77 STREET
7294,Brooklyn,11225,151 LEFFERTS AVENUE,"PREUDHOMME, PATRICK",1901,French Renaissance,Brick,"Residential, multi-family",40.662039,-73.955979,1,Landmarks,151 LEFFERTS AVENUE
3112,Manhattan,10019,869 9 AVENUE,WINDERMERE PROPERTIES,1900,High Victorian Gothic,Red Brick,"Residential, multi family",40.76809,-73.986148,1,Landmarks,869 9 AVENUE
9369,Queens,11372,35-21 87 STREET,"MILLER, GABRIELLA",1930,neo-Georgian,Red Brick,Residential,40.751527,-73.879888,1,Landmarks,35-21 87 STREET
1712,Manhattan,10014,110 WEST WASHINGTON PLCE,BRILL MARCIA,1899,Queen Anne,Flemish-Bond Brick,Residential,40.73256,-74.001028,2,Landmarks,110 WEST WASHINGTON PLCE
3292,Manhattan,10023,24 WEST 75 STREET,BRUSCO PARKWAY EASTAS,1910,Queen Anne,Brownstone,Residential,40.778532,-73.975418,1,Landmarks,24 WEST 75 STREET
2000,Manhattan,10014,24 BANK STREET,"MORTENSON, RAY",1899,Gothic Revival,Brick,Residential,40.736988,-74.002631,2,Landmarks,24 BANK STREET
3261,Manhattan,10023,9 WEST 73 STREET,"9 WEST 73RD STREET, L",1900,neo-Georgian,Red Brick,Residential,40.777039,-73.975769,1,Landmarks,9 WEST 73 STREET
598,Manhattan,10013,165 GRAND STREET,224 CENTRE REALTY LLC,1915,Queen Anne,Brownstone,"Institutional, private club",40.719556,-73.998698,1,Landmarks,165 GRAND STREET
6645,Brooklyn,11215,891 UNION STREET,"WOODRUFF, NANCY A",1899,Queen Anne,Brick,Residential,40.67394,-73.974091,2,Landmarks,891 UNION STREET
8432,Brooklyn,11222,1125 LORIMER STREET,1125 LORIMER ST HSNG,1949,neo-Federal,Red Brick,"Residential, multi-family",40.728444,-73.9544705,2,Landmarks,1125 LORIMER STREET
7445,Brooklyn,11233,280 DECATUR STREET,GRIFFITH ASQUITH D,1910,Renaissance Revival,Stone,Residential,40.681535,-73.932603,1,Landmarks,280 DECATUR STREET
7515,Brooklyn,11216,91 MACON STREET,91 MACON STREET LLC,1900,Renaissance Revival,Stone,Residential,40.681331,-73.947562,1,Landmarks,91 MACON STREET
4202,Manhattan,10065,762 MADISON AVENUE,C/O SL GREEN REALTY C,1910,neo-Grec,Brownstone,Residential,40.767686,-73.968437,1,Landmarks,762 MADISON AVENUE
3899,Manhattan,10024,162 WEST 88 STREET,"CONIGLIO, ANTOINETTE",1900,Romanesque,Brownstone,Residential,40.788495,-73.972912,3,Landmarks,162 WEST 88 STREET
7691,Brooklyn,11205,309 WASHINGTON AVENUE,ERICA LINDSAY ASSOC,1905,neo-Renaissance Revival,Rock-faced Brownstone,"Residential, multi-family",40.6895695,-73.9660325,2,Landmarks,309 WASHINGTON AVENUE
6061,Brooklyn,11201,119 ATLANTIC AVENUE,ATLANTIC HENRY CONDOM,1900,Romanesque Revival,Brick,"Mixed-use, commercial & residential",40.690846,-73.996509,2,Landmarks,119 ATLANTIC AVENUE
6686,Brooklyn,11215,914 PRESIDENT STREET,YS SINGLE FAMILY LLC,1920,neo-Grec,Brownstone,Residential,40.672447,-73.972364,1,Landmarks,914 PRESIDENT STREET
3711,Manhattan,10024,53 WEST 88 STREET,BIG BEND 53W88 NY LLC,1900,Romanesque,Brownstone,Residential,40.787226,-73.969858,1,Landmarks,53 WEST 88 STREET
3352,Manhattan,10023,142 WEST 70 STREET,140-142 WEST SEVENTIE,1900,Queen Anne,Brownstone,Residential,40.776527,-73.980766,2,Landmarks,142 WEST 70 STREET
9300,Queens,11372,35-16 87 STREET,"NAHAR, KAMRUN",1930,neo-Tudor,Brick,"Outbuilding, garage",40.751604,-73.879924,8,Landmarks,35-16 87 STREET
6504,Brooklyn,11217,118 PARK PLACE,"MUNROE, JOSEPHINE",1899,French,Brownstone,Residential,40.6782,-73.974504,1,Landmarks,118 PARK PLACE
3148,Manhattan,10023,63 WEST 68 STREET,"6368 REALTY, LLC",1907,Queen Anne,Brownstone,Residential,40.774474,-73.979738,1,Landmarks,63 WEST 68 STREET
1775,Manhattan,10014,16 CHRISTOPHER STREET,EDMOND MARTIN REAL ES,1910,neo-Grec,Brick,Residential,40.73386525,-74.0005085,4,Landmarks,16 CHRISTOPHER STREET
4314,Manhattan,10021,905 MADISON AVENUE,KHEDOURI K EZAIR CORP,1920,Queen Anne (original),Stucco,Residential,40.772252,-73.965077,2,Landmarks,905 MADISON AVENUE
9151,Queens,11372,34-22 84 STREET,"AKIYA, NATHALIE",1935,neo-Tudor,Brick,Residential,40.75315,-73.883047,1,Landmarks,34-22 84 STREET
5806,Brooklyn,11201,124 WILLOW STREET,"PLATT, JANE",1831,Eclectic-Flemish,Brick,Residential,40.697241,-73.995889,1,Landmarks,124 WILLOW STREET
9246,Queens,11372,34-18 88 STREET,"MEZA, CESAR H.",1935,neo-Georgian,Red Brick,"Outbuilding, garage",40.753615,-73.879339,1,Landmarks,34-18 88 STREET
7066,Brooklyn,11238,369 PARK PLACE,SALVATORE PARDO,1931,Renaissance Revival,Brownstone,Residential,40.675999,-73.965387,1,Landmarks,369 PARK PLACE
3712,Manhattan,10024,45 WEST 88 STREET,MARSHALL GERALD M,1900,Romanesque,Brownstone,Residential,40.787158,-73.969695,1,Landmarks,45 WEST 88 STREET
3979,Manhattan,10024,309 WEST 80 STREET,"CLEMENTS, JACQUELINE",1899,Renaissance,Tan Brick,"Residential, single-family",40.785151,-73.980937,4,Landmarks,309 WEST 80 STREET
2018,Manhattan,10014,311 WEST 4 STREET,HENRY A. PINCUS TRUST,1915,neo-Grec,Flemish-Bond Brick,Residential,40.737221,-74.003785,2,Landmarks,311 WEST 4 STREET
212,Manhattan,10013,331 GREENWICH STREET,"MILLNER, GIEL",1920,Utilitarian,Cast Iron,Residential,40.71779,-74.010599,1,Landmarks,331 GREENWICH STREET
6959,Brooklyn,11215,163 PROSPECT PARK WEST,YOSHIZUMI CORP,1999,Classical,Not determined,"Residential, multi-family",40.663316,-73.97793,1,Landmarks,163 PROSPECT PARK WEST
1425,Manhattan,10011,14 WEST 11 STREET,14 WEST 11 TEN CORP,1900,Federal,Brick,Residential,40.73435,-73.995822,1,Landmarks,14 WEST 11 STREET
4120,Manhattan,10022,23 BEEKMAN PLACE,"RUPPERT, LLC",1930,Second-generation Modernist,Rusticated Stone,"Residential, single family",40.753476,-73.964679,1,Landmarks,23 BEEKMAN PLACE
9309,Queens,11372,35-36 87 STREET,YOUNG ISRAEL OF JACKS,1930,neo-Tudor,Brick,Residential,40.75133,-73.879874,2,Landmarks,35-36 87 STREET
9257,Queens,11372,34-36 88 STREET,"PATTERSON, CHRISTIAN",1935,neo-Georgian,Red Brick,Residential,40.753239,-73.879271,1,Landmarks,34-36 88 STREET
4400,Manhattan,10075,7 EAST 78 STREET,7 EAST 78 STREET CORP,1920,Italian Renaissance,Limestone,"Residential, single-family",40.776125,-73.963757,1,Landmarks,7 EAST 78 STREET
4321,Manhattan,10021,27 EAST 73 STREET,"CHARLES H.C. GERARD,",1901,neo-Grec,Brownstone,Residential,40.772662,-73.96538,1,Landmarks,27 EAST 73 STREET
2650,Manhattan,10011,353 WEST 21 STREET,35321  HOLDINGS  LLC,1910,Italianate,Brick,Residential,40.74464,-74.000895,1,Landmarks,353 WEST 21 STREET
7181,Brooklyn,11213,928 ST MARKS AVENUE,"SHABAKA, NUBIAA K",1901,Romanesque Revival,Blonde Brick,Residential,40.674719,-73.941295,1,Landmarks,928 ST MARKS AVENUE
4156,Manhattan,10065,714 MADISON AVENUE,GARFIELD LAWRENCE 714,1940,neo-Grec,Brownstone,Residential,40.766262,-73.969474,3,Landmarks,714 MADISON AVENUE
4466,Manhattan,10021,964 LEXINGTON AVENUE,PARTITA PARTNERS,1930,Italianate (original),Brownstone,Residential,40.769356,-73.962995,3,Landmarks,964 LEXINGTON AVENUE
3108,Manhattan,10019,205 WEST 57 STREET,OSBORNE TENANTS CORP,1900,Renaissance Revival,Rusticated Stone,"Residential, multi family",40.765704,-73.980452,4,Landmarks,205 WEST 57 STREET
9755,Queens,11363,205 38 ROAD,"FEBBRARO, JOANNE L",1930,Beaux-Arts,Wood Frame,"Residential, single-family",40.77173,-73.751822,2,Landmarks,205 38 ROAD
5572,Brooklyn,11201,17 OLD FULTON STREET,17 CADMAN PLAZA WEST,1925,Italianate,Brick,"Mixed-use, commercial & residential",40.702601,-73.993663,2,Landmarks,17 OLD FULTON STREET
5326,Manhattan,10032,436 WEST 162 STREET,"CESBRON, JEAN JACQUES",1899,Classical,Rough-faced Stone,Residential,40.835381,-73.938945,1,Landmarks,436 WEST 162 STREET
801,Manhattan,10012,84 WOOSTER STREET,CALLIOPE REALTY ASSOC,1920,Classical,Brick,"Commercial, mercantile exchange",40.723956,-74.000714,1,Landmarks,84 WOOSTER STREET
352,Manhattan,10013,13 JAY STREET,JAY HOUSING CORP,1915,neo-Grec,Cast Iron,"Commercial, store and lofts",40.718043,-74.009827,2,Landmarks,13 JAY STREET
6453,Brooklyn,11231,326A PRESIDENT STREET,"VICTOIR, NICOLAS BENO",1901,neo-Grec,Brownstone,Residential,40.680434,-73.993243,1,Landmarks,326A PRESIDENT STREET
8774,Brooklyn,11226,994 OCEAN AVENUE,ANGEL & YVETTE PABON,1910,Bungalow,Wood Frame,"Residential, single-family",40.638295,-73.958784,1,Landmarks,994 OCEAN AVENUE
5570,Brooklyn,11201,51 HUDSON AVENUE,WILENSKY MARK,1920,Italianate,Wood Frame,"Mixed-use, commercial & residential",40.703423,-73.981072,1,Landmarks,51 HUDSON AVENUE
5115,Manhattan,10031,14 HAMILTON TERRACE,"GREEN, MILDRED A",1901,Classical,Limestone,Residential,40.822246,-73.946899,1,Landmarks,14 HAMILTON TERRACE
4509,Manhattan,10021,110 EAST 73 STREET,"110 EAST 73RD STREET,",1899,neo-Renaissance,Red Brick,Residential,40.771544,-73.962763,2,Landmarks,110 EAST 73 STREET
9208,Queens,11372,34-31 84 STREET,PETER J KUHL,1930,neo-Georgian,Red Brick,Residential,40.752941,-73.882986,1,Landmarks,34-31 84 STREET
4434,Manhattan,10065,874 LEXINGTON AVENUE,874 LEXINGTON AVE COR,1900,Italianate (original),Stucco,"Residential, multi-family",40.766211,-73.965289,1,Landmarks,874 LEXINGTON AVENUE
6720,Brooklyn,11215,25 PROSPECT PARK WEST,"LITTLETON, ROBERT",1901,Classical,Roman Brick,Residential,40.670835,-73.971666,1,Landmarks,25 PROSPECT PARK WEST
9259,Queens,11372,34-38 88 STREET,"GONZALEZ, JULIO",1935,neo-Georgian,Red Brick,"Outbuilding, garage",40.753198,-73.879264,1,Landmarks,34-38 88 STREET
3196,Manhattan,10023,57 WEST 70 STREET,WEST 70TH ST ASSC,1910,Queen Anne,Brick,Residential,40.775574,-73.978463,1,Landmarks,57 WEST 70 STREET
3307,Manhattan,10023,48 WEST 76 STREET,"48 WEST 76TH STREET,",1901,neo-Italian Renaissance,Brownstone,Residential,40.779378,-73.975451,1,Landmarks,48 WEST 76 STREET
6958,Brooklyn,11215,163 PROSPECT PARK WEST,YOSHIZUMI CORP,1999,Classical,Not determined,"Residential, multi-family",40.663316,-73.97793,1,Landmarks,163 PROSPECT PARK WEST
4084,Manhattan,10022,647 5 AVENUE,OLYMPICGOLD LLC,1930,French Louis XV,Stone,"Residential, single family",40.759503,-73.976483,1,Landmarks,647 5 AVENUE
2601,Manhattan,10011,449 WEST 22 STREET,"158 EASTMAN, LLC",1900,French Second Empire,Brownstone,Residential,40.746539,-74.003483,2,Landmarks,449 WEST 22 STREET
7046,Brooklyn,11238,157 PROSPECT PLACE,"MURPHY, EMMA",1910,Second Empire,Brownstone,Residential,40.678178,-73.971273,2,Landmarks,157 PROSPECT PLACE
1386,Manhattan,10011,64 WEST 10 STREET,"64 WEST 10TH STREET,",1900,Greek Revival (original),Not determined,Residential,40.73424,-73.997438,1,Landmarks,64 WEST 10 STREET
7825,Brooklyn,11238,388 VANDERBILT AVENUE,BRIDGET I BENJAMIN,1899,neo-Grec,Brownstone,Residential,40.685626,-73.968346,1,Landmarks,388 VANDERBILT AVENUE
5682,Brooklyn,11201,8 OLD FULTON STREET,8 FULTON CORP,1915,British 19th century Commercial,Brick,"Commercial, offices",40.702969,-73.994666,1,Landmarks,8 OLD FULTON STREET
4860,Manhattan,10025,881 AMSTERDAM AVENUE,AMERICAN YOUTH HOSTEL,1950,neo-Grec,Red Brick,"Institutional, charitable, nursing home",40.798838,-73.966865,3,Landmarks,881 AMSTERDAM AVENUE
