DBA,BORO,address,zip_code,lat,lon,categories,PHONE,INSPECTION.DATE,INSPECTION.RESULT,review_count,rating,price
212 STEAKHOUSE,Manhattan,316 E 53RD ST,10022,40.75634,-73.966489,Steakhouses,2128580646,9/18/19,-27/C,587,4,$$$
22 THAI CUISINE,Manhattan,59 NASSAU ST,10038,40.70925,-74.0088,Thai,2127329250,1/24/19,A7/NC,155,2.5,$
2234 GREAT WALL INC,Manhattan,2234 1ST AVE,10029,40.795074,-73.935684,Chinese,2124264888,1/1/00,#NAME?,12,4,$
2234 GREAT WALL INC,Manhattan,2234 1ST AVE,10029,40.795074,-73.935684,Chinese,2124264888,1/1/00,#NAME?,12,4,$
2234 GREAT WALL INC,Manhattan,2234 1ST AVE,10029,40.795074,-73.935684,Chinese,2124264888,1/1/00,#NAME?,12,4,$
2234 GREAT WALL INC,Manhattan,2234 1ST AVE,10029,40.795074,-73.935684,Chinese,2124264888,1/1/00,#NAME?,12,4,$
28 MING'S CAFFE,Manhattan,28 CANAL ST,10002,40.714321,-73.990509,Chinese,2129781888,8/5/19,A8/C,101,4,$
3 GUYS SUSHI,Staten Island,530 FOREST AVE,10310,40.630062,-74.107803,Japanese,7184470088,7/23/19,B25/C,62,3.5,$$
3 LUIGI'S PIZZA,Brooklyn,275 GRAND AVE,11238,40.6882597,-73.9626018,Italian,9178330996,8/26/19,Z22/NC,76,4,$
333 LOUNGE,Brooklyn,333 FLATBUSH AVE,11217,40.6778603,-73.9726105,Sushi Bars,9176098864,3/28/19,A12/NC,7,2,$$
5 Avenida Tacos California,Brooklyn,4616 5TH AVE,11220,40.64714,-74.0086,Mexican,7184391661,7/11/19,A9/NC,24,3.5,$
51ST BAKERY AND CAFE,Queens,5-33 51ST AVE,11101,40.74227655,-73.95533092,Bakeries,7187070554,8/29/19,A5/NC,166,4.5,$
52ND SUSHI,Queens,5221 ROOSEVELT AVE,11377,40.74459076,-73.91161346,Sushi Bars,7185079204,5/25/19,A13/NC,105,4,$$
5IVE SPICE,Brooklyn,52 5TH AVE,11217,40.68145923,-73.97725098,Vietnamese,7188573483,8/6/19,N18/C,510,4,$$
624 KAM HAI CHINESE FOOD,Brooklyn,624 CATON AVE,11218,40.64753,-73.97378,Chinese,7187159889,6/26/19,A12/NA,41,2.5,$
652 LIN'S GARDEN,Queens,652 SENECA AVE,11385,40.7034531,-73.9090729,Chinese,7183662388,9/26/19,A12/C,41,4,$
66S FUSION,Brooklyn,130 FLUSHING AVE,11205,40.69776002,-73.97157407,Sushi Bars,7182220050,7/10/19,A10/NC,49,4.5,$$
6B,Manhattan,60 E 42ND ST,10165,40.7521344,-73.9785697,Delis,2129222110,6/14/19,A9/C,62,4,$$
7 DAYS RESTAURANT,Staten Island,364 BAY ST,10301,40.63390411,-74.07598049,Chinese,7187279888,9/19/19,-16/C,13,3,$
72 CIBAO RESTAURANT,Manhattan,72 CLINTON ST,10002,40.71916,-73.98484,Dominican,2123889824,7/9/19,B20/C,92,3.5,$
750 MYRTLE DINER,Brooklyn,750 MYRTLE AVE,11205,40.69486,-73.95278,Modern European,7187585298,9/12/19,A11/NC,92,4.5,$$
77 BURGER,Manhattan,77 PEARL ST,10004,40.70404,-74.01049,Chinese,2128250354,8/8/19,A12/C,34,3,$
77 BURGER,Manhattan,77 PEARL ST,10004,40.704044,-74.01049,Empanadas,2128250354,8/8/19,A12/C,86,3,$
8 DRAGON & PHOENIX CHINESE RESTAURANT,Queens,2217 31ST ST,11105,40.77585182,-73.91128542,Chinese,7185452228,10/29/18,A10/C,19,4,$
99 FAVOR TASTE,Manhattan,285 GRAND ST,10002,40.7176199,-73.99249,Chinese,6466829122,8/27/19,A10/C,1573,4,$$
99 SCOTT,Brooklyn,99 SCOTT AVE,11237,40.7105638,-73.9233984,Vietnamese,5109105090,6/29/19,#NAME?,666,4,$$
A A JING,Manhattan,689 9TH AVE,10036,40.762,-73.99041,Chinese,2122450800,7/15/19,A13/C,277,3.5,$$
A AND K RESTAURANT,Brooklyn,4408 3RD AVE,11220,40.65105,-74.011666,Spanish,7187371497,1/10/19,A8/C,1,2,$
A GUSTO,Brooklyn,1450 FULTON ST,11216,40.679782,-73.942825,Cafes,3475339961,9/18/18,A12/C,101,4,$$
A PLUS EXPRESS,Brooklyn,794 BROADWAY,11206,40.6996699,-73.9405366,Chinese,7183883880,9/20/19,A9/NC,18,3,$$
A PLUS THAI PLACE,Manhattan,1007 2ND AVE,10022,40.757059,-73.967248,Thai,2122078080,8/28/19,B16/C,177,3.5,$$
A&E TENOCHTIRLAN DELI & TAQUERIA,Bronx,2445 CRESTON AVE,10468,40.861599,-73.8989334,Mexican,6467369491,9/3/19,N61/NC,8,4,$
A-JIAO SICHUAN CHINESE,Manhattan,1817 2ND AVE,10128,40.783159,-73.948244,Chinese,2128288996,9/19/19,-51/C,112,3.5,$$
A-POU'S TASTE,Brooklyn,963 GRAND ST,11211,40.71326,-73.93616,Taiwanese,3473375020,6/5/19,Z59/NC,32,4.5,$
A8 PAN ASIAN VEGAN,Brooklyn,268 PROSPECT PARK W,11215,40.6585694,-73.9822303,Thai,7186222088,3/30/19,A9/NC,53,3.5,$$
AA CHINESE RESTAURANT,Bronx,214 E BURNSIDE AVE,10457,40.8518199,-73.90312,Chinese,7182992218,9/17/19,A13/C,20,3,$$
AARON SUSHI,Queens,2545 STEINWAY ST,11103,40.7667,-73.91233,Japanese,3475360190,2/28/19,A12/C,39,4,$$
AARONS CHINESE AND THAI,Manhattan,338 9TH AVE,10001,40.750379,-73.998141,Chinese,2125609898,9/23/19,N45/NC,50,1.5,$$
AARONS CHINESE AND THAI RESTAURANT,Manhattan,338 9TH AVE,10001,40.750379,-73.998141,Chinese,2125609858,5/22/19,B26/C,50,1.5,$$
ABACE SUSHI,Manhattan,695 9TH AVE,10036,40.762237,-73.990272,Bakeries,2129771777,8/1/19,A10/NC,47,3.5,$
ABACKY POTLUCK,Manhattan,253 W 26TH ST,10001,40.74711218,-73.99664886,Asian Fusion,2129293809,11/8/18,A2/NC,22,3.5,$$
ABAYA THAI CUISINE,Manhattan,318 W 36TH ST,10018,40.753665,-73.993568,Thai,2128683399,6/18/19,A10/NC,58,3,$$
ABI JAPANESE RESTAURANT,Queens,3271 31ST ST,11106,40.760018,-73.926558,Sushi Bars,7186268882,11/20/18,A10/C,46,3,$$
ABIKO CURRY,Manhattan,2 W 32ND ST,10001,40.74742597,-73.98621794,Japanese Curry,2126950888,2/26/19,A9/C,556,4,$$
ABIKO CURRY,Manhattan,2 W 32ND ST,10001,40.7471962,-73.9861908,Korean,2126950888,2/26/19,A9/C,333,4,$
ABIKO CURRY,Manhattan,2 W 32ND ST,10001,40.7472,-73.98619,Korean,2126950888,2/26/19,A9/C,801,3.5,$$
ABIKO CURRY,Manhattan,2 W 32ND ST,10001,40.747204,-73.986198,Sports Bars,2126950888,2/26/19,A9/C,181,3.5,$$
ABURI SUSHI BAR,Brooklyn,769 GRAND ST,11211,40.712052,-73.9424949,Sushi Bars,7183878815,12/13/18,A9/NC,122,3.5,$
ABURIYA KINNOSUKE,Manhattan,213 E 45TH ST,10017,40.752583,-73.972274,Tapas/Small Plates,9172620938,4/29/19,A13/C,699,4,$$$
ACRI CAFE,Bronx,1315 COMMERCE AVE,10461,40.83581835,-73.84039611,Italian,7188296000,9/17/19,-30/C,108,4,$$
ADELLA,Manhattan,410 W 43RD ST,10036,40.7594098,-73.9929134,Tapas Bars,2122730737,6/11/19,#NAME?,147,4,$$
ADORO LEI,Manhattan,287 HUDSON ST,10013,40.725612,-74.007916,Italian,6466665096,6/3/19,A4/NC,256,4.5,$$
AGERN,Manhattan,89 E 42ND ST,10017,40.752901,-73.9773022,Tacos,6465684018,1/3/19,A12/C,68,3.5,$$
AIRS CHAMPAGNE PARLOR,Manhattan,127 MACDOUGAL ST,10012,40.73059772,-74.00019866,Champagne Bars,2124752246,5/24/19,A11/NC,42,4,$$
AIRS CHAMPAGNE PARLOR,Manhattan,127 MACDOUGAL ST,10012,40.73056541,-74.00015507,Izakaya,2124752246,5/24/19,A11/NC,80,3.5,$$$$
AJI SUSHI HOUSE,Queens,3606 DITMARS BLVD,11105,40.77420044,-73.90795135,Sushi Bars,7187778885,7/15/19,A11/C,408,4.5,$$
AJIHEI,Brooklyn,156 KNICKERBOCKER AVE,11237,40.70416,-73.92799,Sushi Bars,7185522065,3/26/19,-12/C,55,4.5,$$
AJISAI,Manhattan,795 LEXINGTON AVE,10065,40.763763,-73.966743,Japanese,2123550888,8/1/19,A12/NC,146,3.5,$$
AKO JAPANESE RESTAURANT,Brooklyn,205 BEDFORD AVE,11211,40.7169049,-73.9585858,Sushi Bars,7183022035,7/2/19,A12/NC,296,4,$$
AL HORNO,Manhattan,110 PEARL ST,10005,40.7044967,-74.009238,Mexican,2124808500,9/18/19,Z42/C,47,3,$$
AL HORNO LEAN MEXICAN,Manhattan,1089 2ND AVE,10022,40.75967,-73.96525,Mexican,2125469316,9/13/19,-29/C,111,3.5,$$
AL HORNO LEAN MEXICAN KITCHEN INC,Manhattan,417 W 47TH ST,10036,40.762149,-73.990997,Mexican,2129771000,6/17/19,Z34/C,228,3.5,$$
ALBERTO'S,Queens,9831 METROPOLITAN AVE,11375,40.71110916,-73.85347748,Italian,7182687860,8/7/19,A0/NA,175,4,$$$
ALEXIS CARIBBEAN CUISINE,Queens,16210 JAMAICA AVE,11432,40.703769,-73.797097,Spanish,7185233200,3/28/19,A11/NC,2,5,$
ALI BABA HOOKAH LOUNGE,Staten Island,4561 AMBOY RD,10312,40.54293,-74.16558,Japanese,3479834604,3/2/19,A10/C,46,4,$$
ALIDORO,Manhattan,18 E 39TH ST,10016,40.75099,-73.981312,Sandwiches,6466924330,8/19/19,A13/C,180,4,$$
ALLORA,Manhattan,145 E 47TH ST,10017,40.75433,-73.97277,Italian,2127549800,1/11/19,A12/C,355,4.5,$$$
ALOHA HARLEM,Manhattan,2245 1ST AVE,10029,40.79568,-73.93599,Barbeque,2129963534,2/7/19,A10/C,151,3.5,$$
ALT - A LITTLE TASTE,Manhattan,148 W 28TH ST,10001,40.746735,-73.992618,Cafes,2124311000,2/22/19,A7/NC,95,4.5,$
ALTA CALIDAD,Brooklyn,55 WATER ST,11201,40.703415,-73.991409,Italian,9177437388,7/20/19,Z4/NC,445,3.5,$$$
ALTA CALIDAD,Brooklyn,55 WATER ST,11201,40.703799,-73.992343,Sushi Bars,9177437388,7/20/19,Z4/NC,315,4,$$$
ALTESI RISTORANTE,Manhattan,26 E 64TH ST,10065,40.76667,-73.96959,Italian,2123552088,7/3/19,A7/C,49,4,$$$
ALTITUDE BROOKLYN,Brooklyn,250 WYCKOFF AVE,11237,40.70051,-73.91307,Mexican,3475253888,8/21/19,A10/C,16,3.5,$$
AMAMI SUSHI,Brooklyn,57 NASSAU AVE,11222,40.723548,-73.952194,Japanese,9179091568,8/7/19,Z15/C,124,4,$$
AMANO SUSHI,Manhattan,50 ELDRIDGE ST,10002,40.71607,-73.99293,Japanese,2123010723,9/24/19,A12/NC,41,4,$$
AMARANTO,Brooklyn,887 HART ST,11237,40.703111,-73.921892,Mexican,7185766001,1/17/19,A11/NC,296,4.5,$$
AMARIN CAFE,Brooklyn,617 MANHATTAN AVE,11222,40.72345,-73.95087,Thai,7183492788,6/10/19,A12/C,255,4,$
AMATA,Manhattan,209 E 56TH ST,10022,40.759426,-73.967063,Italian,2123080830,7/23/19,A7/C,69,4,$$$
AMAZE FUSION & LOUNGE,Manhattan,694 3RD AVE,10017,40.7519302,-73.9739609,Lounges,2129865555,7/24/19,A11/C,245,3,$$
AMBER,Manhattan,103 W 70TH ST,10023,40.77640533,-73.97987366,Japanese,2127998122,9/19/19,A13/NC,82,4,$$
AMBER SUSHI I,Manhattan,1406 3RD AVE,10075,40.77495197,-73.9570613,Japanese,2122495020,8/6/19,B19/C,212,3.5,$$
AMC STATEN ISLAND 11,Staten Island,2655 RICHMOND AVE,10314,40.58185759,-74.16522116,Pan Asian,7182857529,4/10/19,A12/NC,152,3.5,$$
AMELIE WINE BAR,Manhattan,566 AMSTERDAM AVE,10024,40.78875,-73.97464,French,4153104853,9/19/19,#NAME?,111,4.5,$$$
AMELIE WINE BAR,Manhattan,566 AMSTERDAM AVE,10024,40.788748,-73.974621,Japanese,4153104853,9/19/19,#NAME?,93,4.5,$$
AMICI RISTORANTE,Manhattan,165 MULBERRY ST,10013,40.7197281,-73.9972318,Italian,3474696696,9/5/19,A11/NC,224,3.5,$$
AMITUOFO VEGAN CUISINE,Brooklyn,19 BOGART ST,11206,40.70381,-73.933159,Asian Fusion,7183662288,9/25/19,A9/C,96,4.5,$$
AMITUOFO VEGAN CUISINE,Brooklyn,19 BOGART ST,11206,40.70381,-73.933159,Asian Fusion,7183662288,9/25/19,A9/C,74,4.5,$$
AMMAZZACAFFE,Brooklyn,702 GRAND ST,11211,40.7113172,-73.9446243,Cocktail Bars,9292502875,3/30/19,A9/C,106,4.5,$$
AMURA JAPANESE RESTAURANT,Manhattan,1567 2ND AVE,10028,40.775001,-73.9542,Japanese,2127721688,9/9/19,A12/C,275,4,$$
AMY'S RESTAURANT,Manhattan,586 W 207TH ST,10034,40.86701,-73.92097,Chinese,2125673175,3/21/19,A7/C,102,3.5,$$
AN'NAM,Manhattan,234 W 48TH ST,10036,40.76064,-73.98635,Hot Pot,2122478318,9/12/19,Z18/C,167,3.5,$$
AN'NAM,Manhattan,234 W 48TH ST,10036,40.76052856,-73.98638916,Vietnamese,2122478318,9/12/19,Z18/C,241,4,$$
ANARKALI INDIAN FOOD,Brooklyn,1125 CHURCH AVE,11218,40.6475,-73.9686,Chinese,7182822200,3/26/19,A10/C,2,3,$
ANCHOR HEIGHTS,Manhattan,575 W 207TH ST,10034,40.86666,-73.92037,Wine Bars,6468959686,2/13/19,-24/C,141,4,$$
ANCHOR WINEBAR,Manhattan,3508 BROADWAY,10031,40.82536161,-73.95103388,Italian,2122343084,9/11/19,Z24/NC,250,4,$$
ANDALUCIA BAR & LOUNGE,Brooklyn,1336 BUSHWICK AVE,11207,40.68568,-73.911933,Italian,9173184044,5/23/19,A9/NC,23,4,$$
ANDREA'S CHICKEN,Queens,5627 61ST ST,11378,40.72383685,-73.90423502,Peruvian,7183260103,1/9/19,A4/NC,40,3.5,$$
ANGELETTO,Manhattan,890 2ND AVE,10017,40.753188,-73.969365,Italian,2122351227,8/29/19,A9/NC,121,4.5,$$
ANGELO GORDON,Manhattan,245 PARK AVE,10167,40.75511915,-73.9748699,Food Trucks,2126920215,11/21/18,A5/C,3,4.5,$$
ANGKOR CAMBODIAN BISTRO,Manhattan,408 E 64TH ST,10065,40.76226,-73.95914,Cambodian,2127582111,3/29/19,A7/NC,229,4.5,$$
ANNIE 88 EXPRESS,Brooklyn,880 NOSTRAND AVE,11225,40.667897,-73.95103,Chinese,7183638383,5/2/19,A12/C,23,3.5,$
ANTHONY'S FAMOUS PIZZERIA,Staten Island,309 BRADLEY AVE,10314,40.60372,-74.13141,Chinese,3478617088,8/27/19,Z15/C,20,3.5,$
ANTHONY'S PLACE,Brooklyn,2812 OCEAN AVE,11229,40.5928522,-73.9505447,Italian,7187438099,2/7/19,B14/C,167,4,$$
ANTHONY'S PLACE,Brooklyn,2812 OCEAN AVE,11229,40.5926858,-73.9503027,French,7187438099,2/7/19,B14/C,2,3.5,$$$$
ANTICA,Manhattan,370 CANAL ST,10013,40.72066116,-74.0043869,Italian,6464392460,6/28/19,A12/C,47,3.5,$$
ANTICA RISTORANTE,Manhattan,8 STONE ST,10004,40.70393551,-74.01217318,Italian,2124803880,7/9/19,C-1/C,427,4.5,$$$
ANTICA TRATTORIA,Queens,6810 FRESH POND RD,11385,40.70471419,-73.89617778,Italian,7183861559,2/12/19,A10/C,118,4,$$
ANTOJITOS ECUATORIANOS,Brooklyn,3398 FULTON ST,11208,40.684019,-73.870099,Latin American,7182770970,12/13/18,A10/C,14,4,$
ANYTIME KARAOKE,Manhattan,23 W 32ND ST,10001,40.74779,-73.98674,Korean,6465904703,11/20/18,A12/C,195,4.5,$$
ANYTIME KARAOKE,Manhattan,23 W 32ND ST,10001,40.74788,-73.98665,Korean,6465904703,11/20/18,A12/C,1208,3.5,$$
ANYTIME SOJU,Manhattan,23 W 32ND ST,10001,40.74779,-73.98674,Korean,6466697733,8/29/19,Z17/C,195,4.5,$$
ANYTIME SOJU,Manhattan,23 W 32ND ST,10001,40.74788,-73.98665,Korean,6466697733,8/29/19,Z17/C,1208,3.5,$$
AQUAMARINA,Manhattan,4060 BROADWAY,10032,40.8433196,-73.9388948,Italian,2129280070,3/27/19,A11/NC,108,3,$$
ARASHI SUSHI,Brooklyn,9605 CHURCH AVE,11212,40.65603,-73.91544,Sushi Bars,7183852223,8/27/19,A13/NC,37,3.5,$$
ARBUZ,Brooklyn,1706 SHEEPSHEAD BAY RD,11235,40.585796,-73.951922,Ice Cream & Frozen Yogurt,7189750999,4/19/19,A4/NC,203,4,$
ARCO CAFE,Manhattan,886 AMSTERDAM AVE,10025,40.7988462,-73.967065,Italian,6467819080,7/31/19,#NAME?,234,4,$$
AREPAS CAFE,Queens,3307 36TH AVE,11106,40.755835,-73.927691,Venezuelan,7189373835,6/14/19,A10/C,838,4,$$
ARMANDO'S KITCHEN,Brooklyn,1345 ROCKAWAY PKWY,11236,40.64723,-73.904011,Italian,7184843100,11/23/18,A12/NC,10,4,$
ARMANI RISTORANTE,Manhattan,717 5TH AVE,10022,40.76184632,-73.97422998,Italian,2122071902,12/6/18,A7/NC,205,4,$$$
ARMONDO'S ITALIAN RESTAURANT,Queens,7316 NORTHERN BLVD,11372,40.7545652,-73.8934414,Italian,7188980113,3/29/19,#NAME?,45,4.5,$$$
ARNOR CREPES & BUBBLE TEA,Brooklyn,1425 W 10TH ST,11204,40.61044881,-73.98393019,Bubble Tea,3475548733,12/17/18,A13/C,120,4,$
AROMA A MEXICO,Brooklyn,568 4TH AVE,11215,40.66637,-73.99246,Mexican,7189653333,1/24/19,A11/C,54,3.5,$$
ART BIRD & WHISKEY BAR,Manhattan,89 E 42ND ST,10017,40.752901,-73.9773022,Tacos,6469923828,6/17/19,A12/NC,68,3.5,$$
ART HOUSE RESTAURANT,Brooklyn,2751 OCEAN AVE,11229,40.594277,-73.950076,French,7187431323,2/21/19,A2/NC,63,3.5,$$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.76815289,-73.98276296,French,2128239770,1/29/19,A4/NC,1512,4.5,$$$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.768538,-73.982923,Bakeries,2128239770,1/29/19,A4/NC,1320,4,$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.76860206,-73.98303866,Jazz & Blues,2128239770,1/29/19,A4/NC,357,4,$$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.76860636,-73.98327847,Sushi Bars,2128239770,1/29/19,A4/NC,306,4,$$$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.76855917,-73.98301327,Japanese,2128239770,1/29/19,A4/NC,176,3.5,$$$$
ASCENT LOUNGE,Manhattan,10 COLUMBUS CIR,10019,40.76844,-73.98273,Tapas Bars,2128239770,1/29/19,A4/NC,28,3,$$
ASHBY'S,Manhattan,120 BROADWAY,10271,40.7078814,-74.01020267,Seafood,2125130702,6/28/19,A9/C,539,4,$$$
ASIA CHINESE RESTAURANT,Queens,63104 WOODHAVEN BLVD,11374,40.721936,-73.8666669,Chinese,7184163333,5/8/19,A10/NC,29,4,$
ASIA EXPRESS,Manhattan,493 2ND AVE,10016,40.74094,-73.97891,Chinese,2126869888,9/13/19,A9/C,59,3,$
ASIA FUSION RESTAURANT,Manhattan,586 W 207TH ST,10034,40.86701,-73.92097,Chinese,2124519295,1/1/00,#NAME?,102,3.5,$$
ASIAN 59,Manhattan,207 E 59TH ST,10022,40.76153,-73.96595,Japanese,2123714777,5/30/19,B18/C,63,3.5,$
ASIAN BAY CHINESE FOOD,Brooklyn,1741 SHEEPSHEAD BAY RD,11235,40.58504,-73.95116,Japanese,7183681988,7/3/19,A12/C,54,3.5,$
ASIAN GOURMET,Manhattan,1509 LEXINGTON AVE,10029,40.7867088,-73.9499588,Vietnamese,3479011873,8/15/19,A7/C,59,3.5,$
ASIAN KITCHEN,Queens,8543 GRAND AVE,11373,40.7358398,-73.8809509,Chinese,7185650906,4/3/19,A13/C,26,4,$
ASIAN TOKYO JAPANESE CUISINE,Bronx,4685 MANHATTAN COLLEGE PKWY,10471,40.89104728,-73.89824483,Japanese,7185435751,7/18/19,B17/C,43,3.5,$$
ASIAN WOK,Manhattan,88 FULTON ST,10038,40.709202,-74.005836,Thai,2127660821,8/7/19,-13/C,324,3.5,$$
ASUKA SUSHI,Manhattan,300 W 23RD ST,10011,40.74529,-73.99888,Japanese,2127270888,7/22/19,A12/NC,825,4,$$
AT NINE RESTAURANT & BAR,Manhattan,592 9TH AVE,10036,40.758697,-73.992064,Thai,2122654499,5/9/19,B26/NC,412,4,$$
AT YOUR MOTHER-IN-LAW,Brooklyn,3071 BRIGHTON 4TH ST,11235,40.57748,-73.96325,Korean,7189424088,4/22/19,A5/C,150,4,$
ATAMI,Manhattan,1167 2ND AVE,10065,40.76226,-73.9635,Japanese,2126886868,8/27/19,A12/C,132,4,$$
ATLA,Manhattan,372 LAFAYETTE ST,10012,40.7271874,-73.9938924,Mexican,6468376464,12/5/18,A12/C,210,3.5,$$
ATOBOY,Manhattan,43 E 28TH ST,10016,40.74364,-73.98456,Korean,6464767217,2/27/19,A12/C,263,4.5,$$$
ATOMIX,Manhattan,104 E 30TH ST,10016,40.74421,-73.98286,Korean,6466968901,3/29/19,A7/C,30,4.5,$$$$
AU ZA'ATAR,Manhattan,188 AVENUE A,10009,40.728901,-73.981185,Wine Bars,2122545660,9/24/19,Z35/C,545,4,$$
AUGUST GATHERINGS,Manhattan,266 CANAL ST,10013,40.7186556,-74.0011004,Cantonese,2122741535,10/31/18,A11/NC,189,3.5,$$$
AUGUSTINE,Manhattan,5 BEEKMAN ST,10038,40.71141,-74.006814,French,2123750010,6/24/19,A5/NC,196,3.5,$$$
AUNT JAKE'S,Manhattan,149 MULBERRY ST,10013,40.7190315,-73.9977161,Italian,6468580470,9/5/19,-28/C,1069,4,$$
"AUNTIE ANNE'S PRETZELS, PINKBERRY",Manhattan,151 W 34TH ST,10001,40.75038155,-73.9883,Italian,2125940018,5/2/19,A9/C,623,3.5,$$
AUNTIE ANNE'S PRETZELS/CARVEL,Manhattan,151 W 34TH ST,10001,40.75038155,-73.9883,Italian,6463689668,9/6/19,A11/NC,623,3.5,$$
AUNTIE ANNIE'S,Manhattan,200 BROADWAY,10038,40.71049447,-74.00875535,Japanese,5165974454,1/1/00,#NAME?,111,4,$$
AUNTIE GUAN'S KITCHEN,Manhattan,219 E 23RD ST,10011,40.73852,-73.98201,Chinese,2126853388,4/23/19,A7/C,124,3.5,$
AUNTIE GUAN'S KITCHEN 108,Manhattan,108 W 14TH ST,10011,40.73772135,-73.99741485,Chinese,2122068388,7/25/19,A12/C,314,3.5,$$
AURA ZOOB ZIB THAI AUTHENTIC NOODLE BAR,Manhattan,460 9TH AVE,10018,40.75438,-73.99536,Thai,2129718530,3/21/19,A12/C,226,3.5,$$
AUTHENTIC SZECHUAN,Brooklyn,384 5TH AVE,11215,40.67117532,-73.98489306,Szechuan,7187882299,9/24/19,A13/NC,70,3.5,$$
AUTUMN ASIAN,Brooklyn,349 FLATBUSH AVE,11238,40.677148,-73.9721409,Chinese,7187890943,2/15/19,A10/C,37,3.5,$
AUX MERVEILLEUX DE FRED,Manhattan,37 8TH AVE,10014,40.738362,-74.004134,Desserts,9174751992,10/18/18,A7/NC,305,4.5,$$
AVACADERIA,Brooklyn,55 WATER ST,11201,40.703415,-73.991409,Italian,9177437388,7/20/19,Z2/NC,445,3.5,$$$
AVACADERIA,Brooklyn,55 WATER ST,11201,40.703799,-73.992343,Sushi Bars,9177437388,7/20/19,Z2/NC,315,4,$$$
AVANT GARDEN,Manhattan,130 E 7TH ST,10009,40.7261499,-73.98402,American (New),2127772017,7/23/19,-19/C,268,4.5,$$$
AVANTI PIZZA,Staten Island,1650 RICHMOND AVE,10314,40.6083516,-74.16348,Sushi Bars,7185683000,3/13/19,A13/C,75,3.5,$$
AVERE RISTORANTE,Brooklyn,222 DUFFIELD ST,11201,40.6915079,-73.9849649,Italian,9172815197,4/8/19,A12/NC,12,4,$$$
AVOCADO SUSHI,Staten Island,4906 ARTHUR KILL RD,10309,40.52252579,-74.23878479,Sushi Bars,7189661200,6/12/19,A9/C,61,4,$$
AVRA MADISON ESTIATORIO,Manhattan,14 E 60TH ST,10022,40.764335,-73.971732,French,2129370100,2/5/19,A12/NC,187,4,$$$
AYA SUSHI,Manhattan,314 W 39TH ST,10018,40.75561,-73.99207,Japanese,2122215849,5/20/19,A12/C,273,4,$$
AYADA,Manhattan,75 9TH AVE,10011,40.74227627,-74.0048001,Chinese,2126459449,7/16/19,A8/C,3690,4,$$$
AYADA,Manhattan,75 9TH AVE,10014,40.739143,-74.00702,Italian,2126459449,7/16/19,A8/C,56,4,$$
AYADA,Manhattan,75 9TH AVE,10011,40.74242509,-74.00612513,Cambodian,2126459449,7/16/19,A8/C,306,4,$$
AYADA,Manhattan,75 9TH AVE,10011,40.74231154,-74.00612045,French,2126459449,7/16/19,A8/C,128,3.5,$$
AYADA,Manhattan,75 9TH AVE,10011,40.74265894,-74.00592854,Seafood,2126459449,7/16/19,A8/C,561,4,$$
